                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8001,                 4.3212,                 1.7532,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                 1.6059,                 4.2833,                 1.6228,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  9e-06,                  9e-06,                  9e-06
                      3,                 1.6555,                 4.2809,                 1.7004,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              1.782e-05,              1.782e-05,              1.782e-05
                      4,                 1.5493,                 4.2789,                 1.6271,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              2.646e-05,              2.646e-05,              2.646e-05
                      5,                  1.665,                 4.2371,                 1.7742,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              3.492e-05,              3.492e-05,              3.492e-05
                      6,                 1.6654,                 4.2523,                 1.6557,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               4.32e-05,               4.32e-05,               4.32e-05
                      7,                 1.7182,                 4.2535,                 1.6328,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               5.13e-05,               5.13e-05,               5.13e-05
                      8,                 1.5618,                 4.1278,                 1.5673,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              5.922e-05,              5.922e-05,              5.922e-05
                      9,                 1.5017,                 4.1581,                 1.5344,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             6.6961e-05,             6.6961e-05,             6.6961e-05
                     10,                 1.3914,                 4.0552,                 1.4008,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             7.4521e-05,             7.4521e-05,             7.4521e-05
                     11,                 1.3291,                 3.9652,                 1.3019,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.1901e-05,             8.1901e-05,             8.1901e-05
                     12,                 1.3878,                 3.9702,                   1.32,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             8.9101e-05,             8.9101e-05,             8.9101e-05
                     13,                 1.2951,                 3.8026,                 1.2474,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             9.6121e-05,             9.6121e-05,             9.6121e-05
                     14,                 1.3668,                 3.7637,                 1.2707,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00010296,             0.00010296,             0.00010296
                     15,                 1.1563,                   3.44,                 1.2667,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00010962,             0.00010962,             0.00010962
                     16,                 1.2952,                 3.4948,                 1.2301,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001161,              0.0001161,              0.0001161
                     17,                  1.224,                 3.2858,                 1.1984,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001224,              0.0001224,              0.0001224
                     18,                 1.2842,                  3.281,                 1.1966,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00012852,             0.00012852,             0.00012852
                     19,                 1.1803,                 3.1637,                 1.1883,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00013446,             0.00013446,             0.00013446
                     20,                 1.1921,                 3.1018,                 1.2059,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00014022,             0.00014022,             0.00014022
                     21,                 1.1979,                 3.1384,                 1.1717,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001458,              0.0001458,              0.0001458
                     22,                 1.1271,                 2.9654,                  1.186,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0001512,              0.0001512,              0.0001512
                     23,                 1.0544,                 2.8954,                 1.1482,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00015642,             0.00015642,             0.00015642
                     24,                 1.1052,                 2.9221,                 1.1676,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00016146,             0.00016146,             0.00016146
                     25,                 1.1228,                 2.8288,                 1.1818,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00016633,             0.00016633,             0.00016633
                     26,                  1.019,                 2.5151,                 1.1487,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00017101,             0.00017101,             0.00017101
                     27,                0.95477,                 2.7941,                 1.1179,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00017551,             0.00017551,             0.00017551
                     28,                 1.0568,                 2.5208,                 1.1593,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00017983,             0.00017983,             0.00017983
                     29,                 1.0739,                 2.5677,                 1.2706,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00018397,             0.00018397,             0.00018397
                     30,                 1.0903,                 2.3829,                 1.1922,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00018793,             0.00018793,             0.00018793
                     31,                 1.1783,                 2.2764,                  1.267,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019171,             0.00019171,             0.00019171
                     32,                 1.0932,                 2.2743,                 1.1523,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019531,             0.00019531,             0.00019531
                     33,                 1.0147,                 2.3986,                 1.2307,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00019873,             0.00019873,             0.00019873
                     34,                 1.1231,                  2.115,                 1.1355,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020197,             0.00020197,             0.00020197
                     35,                 1.1139,                 2.1299,                 1.1645,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020503,             0.00020503,             0.00020503
                     36,                0.93445,                 2.2056,                 1.1583,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00020791,             0.00020791,             0.00020791
                     37,                0.98409,                 2.1967,                 1.1492,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021061,             0.00021061,             0.00021061
                     38,                0.88871,                 1.9479,                 1.0893,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021313,             0.00021313,             0.00021313
                     39,                 1.0122,                 1.9996,                 1.1521,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021547,             0.00021547,             0.00021547
                     40,                 1.0081,                 1.8731,                  1.147,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021763,             0.00021763,             0.00021763
                     41,                 0.9535,                  1.847,                 1.1356,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00021961,             0.00021961,             0.00021961
                     42,                0.92728,                 1.6744,                 1.0498,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022142,             0.00022142,             0.00022142
                     43,                 1.0026,                 1.8545,                 1.1498,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022304,             0.00022304,             0.00022304
                     44,                0.89659,                 1.4847,                 1.0319,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022448,             0.00022448,             0.00022448
                     45,                0.90609,                   1.56,                 1.1402,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022574,             0.00022574,             0.00022574
                     46,                0.89474,                 1.4358,                 1.0822,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022682,             0.00022682,             0.00022682
                     47,                0.85732,                  1.457,                 1.0904,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022772,             0.00022772,             0.00022772
                     48,                0.90893,                 1.4308,                 1.1117,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022844,             0.00022844,             0.00022844
                     49,                0.91201,                 1.5198,                 1.1566,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022898,             0.00022898,             0.00022898
                     50,                0.81366,                  1.264,                 1.0755,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022934,             0.00022934,             0.00022934
                     51,                0.86395,                 1.2948,                 1.1624,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022952,             0.00022952,             0.00022952
                     52,                 0.7539,                 1.1111,                 1.0384,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022952,             0.00022952,             0.00022952
                     53,                0.96203,                 1.4364,                 1.1436,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022934,             0.00022934,             0.00022934
                     54,                0.91356,                 1.4023,                  1.164,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022899,             0.00022899,             0.00022899
                     55,                 0.9792,                 1.3483,                 1.1605,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022845,             0.00022845,             0.00022845
                     56,                0.81707,                 1.0992,                   1.05,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022773,             0.00022773,             0.00022773
                     57,                0.85672,                 1.2195,                 1.0942,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022683,             0.00022683,             0.00022683
                     58,                0.82296,                 1.0569,                 1.0487,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00022575,             0.00022575,             0.00022575
